alpha,K,seed,lora_rank,partition_seed,test_auc,best_val_auc,selected_round,skipped,reason
0.3,3,42,2,60042.0,0.787,0.7827,10.0,False,OK
0.3,3,43,2,60043.0,0.7898,0.7866,9.0,False,OK
0.3,3,44,2,10044.0,0.8045,0.8015,14.0,False,OK
0.5,3,42,2,20042.0,0.7918,0.7903,13.0,False,OK
0.5,3,43,2,60043.0,0.7945,0.792,14.0,False,OK
0.5,3,44,2,44.0,0.798,0.7928,9.0,False,OK
1.0,3,42,2,10042.0,0.8045,0.8027,12.0,False,OK
1.0,3,43,2,43.0,0.803,0.7988,19.0,False,OK
1.0,3,44,2,20044.0,0.8027,0.7992,20.0,False,OK
5.0,3,42,2,42.0,0.8017,0.7964,17.0,False,OK
5.0,3,43,2,43.0,0.8009,0.796,20.0,False,OK
5.0,3,44,2,44.0,0.8032,0.7995,17.0,False,OK
0.3,5,42,2,70042.0,0.7957,0.7922,19.0,False,OK
0.3,5,43,2,380043.0,0.7886,0.7852,15.0,False,OK
0.3,5,44,2,30044.0,0.7918,0.7884,10.0,False,OK
0.5,5,42,2,70042.0,0.7993,0.7931,20.0,False,OK
0.5,5,43,2,70043.0,0.8013,0.7975,20.0,False,OK
0.5,5,44,2,290044.0,0.7995,0.7948,19.0,False,OK
1.0,5,42,2,10042.0,0.8017,0.7969,14.0,False,OK
1.0,5,43,2,43.0,0.7991,0.7959,18.0,False,OK
1.0,5,44,2,150044.0,0.7975,0.7935,13.0,False,OK
5.0,5,42,2,42.0,0.8011,0.7964,20.0,False,OK
5.0,5,43,2,43.0,0.8003,0.7967,20.0,False,OK
5.0,5,44,2,44.0,0.8001,0.7962,20.0,False,OK
0.3,10,42,2,,,,,True,no valid partition after 100 tries; last: client 1 pos=0.0% below 5%
0.3,10,43,2,,,,,True,no valid partition after 100 tries; last: client 1 pos=98.5% above 95%
0.3,10,44,2,,,,,True,no valid partition after 100 tries; last: client 1 pos=97.6% above 95%
0.5,10,42,2,680042.0,0.791,0.7872,13.0,False,OK
0.5,10,43,2,660043.0,0.7864,0.7817,14.0,False,OK
0.5,10,44,2,44.0,0.7973,0.7945,19.0,False,OK
1.0,10,42,2,150042.0,0.7945,0.7888,20.0,False,OK
1.0,10,43,2,30043.0,0.791,0.7866,20.0,False,OK
1.0,10,44,2,150044.0,0.7909,0.7872,17.0,False,OK
5.0,10,42,2,42.0,0.794,0.7898,20.0,False,OK
5.0,10,43,2,43.0,0.7935,0.7896,20.0,False,OK
5.0,10,44,2,44.0,0.7938,0.7913,20.0,False,OK
