alpha,K,seed,partition_seed,client_id,num_samples,num_pos,num_neg,pos_rate
0.3,5,42,70042,1,74020,17411,56609,0.2352
0.3,5,42,70042,2,126337,8216,118121,0.065
0.3,5,42,70042,3,61863,10280,51583,0.1662
0.3,5,42,70042,4,56269,24282,31987,0.4315
0.3,5,42,70042,5,13124,1080,12044,0.0823
0.3,5,43,380043,1,22915,3753,19162,0.1638
0.3,5,43,380043,2,108667,10240,98427,0.0942
0.3,5,43,380043,3,45166,2826,42340,0.0626
0.3,5,43,380043,4,112229,5773,106456,0.0514
0.3,5,43,380043,5,42636,38677,3959,0.9071
0.3,5,44,30044,1,23132,8627,14505,0.3729
0.3,5,44,30044,2,25789,2788,23001,0.1081
0.3,5,44,30044,3,48237,29387,18850,0.6092
0.3,5,44,30044,4,5176,280,4896,0.0541
0.3,5,44,30044,5,229279,20187,209092,0.088
0.5,5,42,70042,1,72497,17020,55477,0.2348
0.5,5,42,70042,2,115035,8955,106080,0.0778
0.5,5,42,70042,3,62493,10919,51574,0.1747
0.5,5,42,70042,4,59063,22232,36831,0.3764
0.5,5,42,70042,5,22525,2143,20382,0.0951
0.5,5,43,70043,1,88280,16896,71384,0.1914
0.5,5,43,70043,2,90201,17561,72640,0.1947
0.5,5,43,70043,3,22288,2924,19364,0.1312
0.5,5,43,70043,4,52174,17037,35137,0.3265
0.5,5,43,70043,5,78670,6851,71819,0.0871
0.5,5,44,290044,1,104066,5953,98113,0.0572
0.5,5,44,290044,2,110798,23723,87075,0.2141
0.5,5,44,290044,3,19256,13622,5634,0.7074
0.5,5,44,290044,4,95167,16538,78629,0.1738
0.5,5,44,290044,5,2326,1433,893,0.6161
1.0,5,42,10042,1,2418,666,1752,0.2754
1.0,5,42,10042,2,248452,39715,208737,0.1598
1.0,5,42,10042,3,34582,4197,30385,0.1214
1.0,5,42,10042,4,35322,15083,20239,0.427
1.0,5,42,10042,5,10839,1608,9231,0.1484
1.0,5,43,43,1,23812,8587,15225,0.3606
1.0,5,43,43,2,67619,16580,51039,0.2452
1.0,5,43,43,3,74516,11892,62624,0.1596
1.0,5,43,43,4,65374,8811,56563,0.1348
1.0,5,43,43,5,100292,15399,84893,0.1535
1.0,5,44,150044,1,10381,9693,688,0.9337
1.0,5,44,150044,2,18105,11580,6525,0.6396
1.0,5,44,150044,3,45318,3843,41475,0.0848
1.0,5,44,150044,4,208645,28600,180045,0.1371
1.0,5,44,150044,5,49164,7553,41611,0.1536
5.0,5,42,42,1,55944,13642,42302,0.2439
5.0,5,42,42,2,78036,13481,64555,0.1728
5.0,5,42,42,3,27919,7821,20098,0.2801
5.0,5,42,42,4,75470,9159,66311,0.1214
5.0,5,42,42,5,94244,17166,77078,0.1821
5.0,5,43,43,1,71651,19270,52381,0.2689
5.0,5,43,43,2,78710,6187,72523,0.0786
5.0,5,43,43,3,64467,9713,54754,0.1507
5.0,5,43,43,4,65269,14247,51022,0.2183
5.0,5,43,43,5,51516,11852,39664,0.2301
5.0,5,44,44,1,26375,8817,17558,0.3343
5.0,5,44,44,2,74884,10663,64221,0.1424
5.0,5,44,44,3,61539,11084,50455,0.1801
5.0,5,44,44,4,86262,17673,68589,0.2049
5.0,5,44,44,5,82553,13032,69521,0.1579
0.3,3,42,60042,1,235312,12639,222673,0.0537
0.3,3,42,60042,2,61523,20804,40719,0.3381
0.3,3,42,60042,3,34778,27826,6952,0.8001
0.3,3,43,60043,1,66700,28961,37739,0.4342
0.3,3,43,60043,2,232746,15964,216782,0.0686
0.3,3,43,60043,3,32167,16344,15823,0.5081
0.3,3,44,10044,1,58165,3776,54389,0.0649
0.3,3,44,10044,2,270602,56811,213791,0.2099
0.3,3,44,10044,3,2846,682,2164,0.2396
0.5,3,42,20042,1,56276,32825,23451,0.5833
0.5,3,42,20042,2,209342,12598,196744,0.0602
0.5,3,42,20042,3,65995,15846,50149,0.2401
0.5,3,43,60043,1,74077,25434,48643,0.3433
0.5,3,43,60043,2,210617,17791,192826,0.0845
0.5,3,43,60043,3,46919,18044,28875,0.3846
0.5,3,44,44,1,301715,34293,267422,0.1137
0.5,3,44,44,2,27801,25977,1824,0.9344
0.5,3,44,44,3,2097,999,1098,0.4764
1.0,3,42,10042,1,2882,916,1966,0.3178
1.0,3,42,10042,2,288860,54585,234275,0.189
1.0,3,42,10042,3,39871,5768,34103,0.1447
1.0,3,43,43,1,46131,14197,31934,0.3078
1.0,3,43,43,2,134467,27412,107055,0.2039
1.0,3,43,43,3,151015,19660,131355,0.1302
1.0,3,44,20044,1,166130,38589,127541,0.2323
1.0,3,44,20044,2,7921,5340,2581,0.6742
1.0,3,44,20044,3,157562,17340,140222,0.1101
5.0,3,42,42,1,108345,18266,90079,0.1686
5.0,3,42,42,2,158159,20692,137467,0.1308
5.0,3,42,42,3,65109,22311,42798,0.3427
5.0,3,43,43,1,112392,33570,78822,0.2987
5.0,3,43,43,2,119909,10778,109131,0.0899
5.0,3,43,43,3,99312,16921,82391,0.1704
5.0,3,44,44,1,53570,17674,35896,0.3299
5.0,3,44,44,2,152671,21375,131296,0.14
5.0,3,44,44,3,125372,22220,103152,0.1772
0.5,10,42,680042,1,138385,14166,124219,0.1024
0.5,10,42,680042,2,48341,5973,42368,0.1236
0.5,10,42,680042,3,49807,3438,46369,0.069
0.5,10,42,680042,4,5643,1080,4563,0.1914
0.5,10,42,680042,5,27345,14480,12865,0.5295
0.5,10,42,680042,6,28967,3574,25393,0.1234
0.5,10,42,680042,7,5156,2047,3109,0.397
0.5,10,42,680042,8,21604,13894,7710,0.6431
0.5,10,42,680042,9,5117,2484,2633,0.4854
0.5,10,42,680042,10,1248,133,1115,0.1066
0.5,10,43,660043,1,41121,5656,35465,0.1375
0.5,10,43,660043,2,7297,6561,736,0.8991
0.5,10,43,660043,3,30940,5604,25336,0.1811
0.5,10,43,660043,4,142996,8107,134889,0.0567
0.5,10,43,660043,5,26035,22131,3904,0.85
0.5,10,43,660043,6,6998,614,6384,0.0877
0.5,10,43,660043,7,17702,6279,11423,0.3547
0.5,10,43,660043,8,52354,5813,46541,0.111
0.5,10,43,660043,9,835,162,673,0.194
0.5,10,43,660043,10,5335,342,4993,0.0641
0.5,10,44,44,1,87898,14054,73844,0.1599
0.5,10,44,44,2,536,32,504,0.0597
0.5,10,44,44,3,701,398,303,0.5678
0.5,10,44,44,4,12850,691,12159,0.0538
0.5,10,44,44,5,20406,5055,15351,0.2477
0.5,10,44,44,6,11355,2450,8905,0.2158
0.5,10,44,44,7,1458,549,909,0.3765
0.5,10,44,44,8,72577,5572,67005,0.0768
0.5,10,44,44,9,59514,8357,51157,0.1404
0.5,10,44,44,10,64318,24111,40207,0.3749
1.0,10,42,150042,1,23599,4390,19209,0.186
1.0,10,42,150042,2,15793,9981,5812,0.632
1.0,10,42,150042,3,43743,3716,40027,0.085
1.0,10,42,150042,4,39182,3070,36112,0.0784
1.0,10,42,150042,5,49798,6582,43216,0.1322
1.0,10,42,150042,6,22743,4138,18605,0.1819
1.0,10,42,150042,7,24401,6691,17710,0.2742
1.0,10,42,150042,8,31075,6561,24514,0.2111
1.0,10,42,150042,9,33026,9220,23806,0.2792
1.0,10,42,150042,10,48253,6920,41333,0.1434
1.0,10,43,30043,1,37222,6408,30814,0.1722
1.0,10,43,30043,2,16594,1110,15484,0.0669
1.0,10,43,30043,3,83905,5330,78575,0.0635
1.0,10,43,30043,4,63213,7903,55310,0.125
1.0,10,43,30043,5,8955,4831,4124,0.5395
1.0,10,43,30043,6,17924,8889,9035,0.4959
1.0,10,43,30043,7,4551,363,4188,0.0798
1.0,10,43,30043,8,42450,7071,35379,0.1666
1.0,10,43,30043,9,25576,15358,10218,0.6005
1.0,10,43,30043,10,31223,4006,27217,0.1283
1.0,10,44,150044,1,5959,5634,325,0.9455
1.0,10,44,150044,2,8888,5802,3086,0.6528
1.0,10,44,150044,3,23652,4038,19614,0.1707
1.0,10,44,150044,4,91268,6123,85145,0.0671
1.0,10,44,150044,5,26200,6522,19678,0.2489
1.0,10,44,150044,6,56700,4223,52477,0.0745
1.0,10,44,150044,7,11151,6353,4798,0.5697
1.0,10,44,150044,8,29333,3192,26141,0.1088
1.0,10,44,150044,9,33053,1971,31082,0.0596
1.0,10,44,150044,10,45409,17411,27998,0.3834
5.0,10,42,42,1,29829,6586,23243,0.2208
5.0,10,42,42,2,41978,6508,35470,0.155
5.0,10,42,42,3,14819,3776,11043,0.2548
5.0,10,42,42,4,40856,4422,36434,0.1082
5.0,10,42,42,5,50637,8287,42350,0.1637
5.0,10,42,42,6,31884,6358,25526,0.1994
5.0,10,42,42,7,47236,8279,38957,0.1753
5.0,10,42,42,8,29133,4865,24268,0.167
5.0,10,42,42,9,21424,4157,17267,0.194
5.0,10,42,42,10,23817,8031,15786,0.3372
5.0,10,43,43,1,24756,2972,21784,0.1201
5.0,10,43,43,2,34463,4303,30160,0.1249
5.0,10,43,43,3,34507,11737,22770,0.3401
5.0,10,43,43,4,27099,5880,21219,0.217
5.0,10,43,43,5,19890,3395,16495,0.1707
5.0,10,43,43,6,41271,4989,36282,0.1209
5.0,10,43,43,7,54341,5674,48667,0.1044
5.0,10,43,43,8,41400,8984,32416,0.217
5.0,10,43,43,9,23690,8278,15412,0.3494
5.0,10,43,43,10,30196,5057,25139,0.1675
5.0,10,44,44,1,12777,6749,6028,0.5282
5.0,10,44,44,2,28890,6840,22050,0.2368
5.0,10,44,44,3,23226,5903,17323,0.2542
5.0,10,44,44,4,26594,3044,23550,0.1145
5.0,10,44,44,5,25837,1967,23870,0.0761
5.0,10,44,44,6,48293,8033,40260,0.1663
5.0,10,44,44,7,51095,13006,38089,0.2545
5.0,10,44,44,8,31577,3420,28157,0.1083
5.0,10,44,44,9,42294,3978,38316,0.0941
5.0,10,44,44,10,41030,8329,32701,0.203
