alpha,K,seed,partition_seed,test_auc,best_val_auc,selected_round,skipped,reason
0.3,5,42,70042.0,0.8007,0.7981,14.0,False,OK
0.3,5,43,380043.0,0.7929,0.7877,13.0,False,OK
0.3,5,44,30044.0,0.7988,0.7948,8.0,False,OK
0.5,5,42,70042.0,0.8027,0.799,18.0,False,OK
0.5,5,43,70043.0,0.8046,0.8027,20.0,False,OK
0.5,5,44,290044.0,0.8036,0.803,19.0,False,OK
1.0,5,42,10042.0,0.8083,0.8043,12.0,False,OK
1.0,5,43,43.0,0.8068,0.8031,20.0,False,OK
1.0,5,44,150044.0,0.8044,0.7989,13.0,False,OK
5.0,5,42,42.0,0.8068,0.8024,19.0,False,OK
5.0,5,43,43.0,0.8032,0.801,18.0,False,OK
5.0,5,44,44.0,0.8052,0.8027,20.0,False,OK
0.3,3,42,60042.0,0.7926,0.7889,6.0,False,OK
0.3,3,43,60043.0,0.7948,0.7903,9.0,False,OK
0.3,3,44,10044.0,0.8124,0.8086,14.0,False,OK
0.5,3,42,20042.0,0.7949,0.7937,12.0,False,OK
0.5,3,43,60043.0,0.8,0.796,11.0,False,OK
0.5,3,44,44.0,0.8042,0.8004,9.0,False,OK
1.0,3,42,10042.0,0.8115,0.8104,18.0,False,OK
1.0,3,43,43.0,0.8078,0.8053,14.0,False,OK
1.0,3,44,20044.0,0.808,0.8059,19.0,False,OK
5.0,3,42,42.0,0.8076,0.805,16.0,False,OK
5.0,3,43,43.0,0.8067,0.8018,14.0,False,OK
5.0,3,44,44.0,0.8087,0.805,12.0,False,OK
0.3,10,42,,,,,True,no valid partition after 100 tries; last reason: client 1 pos=0.0% below min 5%
0.3,10,43,,,,,True,no valid partition after 100 tries; last reason: client 1 pos=98.5% above max 95%
0.3,10,44,,,,,True,no valid partition after 100 tries; last reason: client 1 pos=97.6% above max 95%
0.5,10,42,680042.0,0.7966,0.7915,13.0,False,OK
0.5,10,43,660043.0,0.7886,0.786,11.0,False,OK
0.5,10,44,44.0,0.8035,0.7989,18.0,False,OK
1.0,10,42,150042.0,0.7995,0.7958,20.0,False,OK
1.0,10,43,30043.0,0.7951,0.7928,18.0,False,OK
1.0,10,44,150044.0,0.7944,0.7888,17.0,False,OK
5.0,10,42,42.0,0.8004,0.7966,20.0,False,OK
5.0,10,43,43.0,0.799,0.7955,20.0,False,OK
5.0,10,44,44.0,0.7983,0.7972,20.0,False,OK
