round,auc_roc,auc_pr,f1,mcc
1,0.6776150811589451,0.3365760438570441,0.3852661430369462,0.20303779012146753
2,0.7188443574793433,0.3784546101610863,0.42547756755277416,0.2653915730842985
3,0.7311500067191375,0.39173114817458077,0.4315575410054674,0.27467188089176114
4,0.7396345556989294,0.40545187519359854,0.43996052585204243,0.28628045420960957
5,0.7398627489559428,0.4039525267221482,0.4434925612881019,0.2916789375106447
6,0.7324178637728964,0.3929614938061565,0.4332518924980975,0.27904871917964935
7,0.7411446326887896,0.41035888929834946,0.43819890160788727,0.2850630438908668
8,0.7438235753897614,0.4098811770264008,0.44279427008105493,0.2911928731853536
9,0.737054684706778,0.40041730374833545,0.43673099799371484,0.281499843650791
10,0.7412283643497954,0.4056624763696407,0.44115690891768977,0.2878872264536112
11,0.7397572473350842,0.40324038382166894,0.4376469774519297,0.28311054086647014
12,0.7255224025495103,0.3798738253891992,0.42565266742338254,0.2653199712874474
13,0.7287768220688129,0.38596136744926623,0.42730920986072235,0.26799181553868856
14,0.736125408176006,0.3952273058169913,0.4351208095270875,0.2794223721486728
15,0.7386731626817369,0.3980155073446554,0.4379551168637676,0.28347791273654865
16,0.73884043621594,0.4001879120525369,0.4394888408927286,0.2854696917289629
17,0.73251434892735,0.38729044133035806,0.4324165572524359,0.2753452728105678
18,0.7332870576254596,0.39053587718866495,0.43549554767248244,0.27971108590245397
19,0.7299170638219203,0.3817243859249273,0.43237948118983477,0.2758141560407764
20,0.7336882971807,0.389057894901495,0.43339322834090827,0.27664618855913575
