Round,IID AUC-ROC,NonIID AUC-ROC,Gap
1,0.7649,0.6776,0.0873
2,0.7897,0.7188,0.0709
3,0.7938,0.7312,0.0626
4,0.7956,0.7396,0.056
5,0.7962,0.7399,0.0563
6,0.797,0.7324,0.0646
7,0.7963,0.7411,0.0551
8,0.7944,0.7438,0.0506
9,0.7932,0.7371,0.0562
10,0.7941,0.7412,0.0528
11,0.7952,0.7398,0.0555
12,0.7943,0.7255,0.0688
13,0.7939,0.7288,0.0651
14,0.7936,0.7361,0.0575
15,0.7933,0.7387,0.0546
16,0.7932,0.7388,0.0543
17,0.7906,0.7325,0.0581
18,0.7922,0.7333,0.0589
19,0.7922,0.7299,0.0623
20,0.7923,0.7337,0.0586
